sensor_id,active_minutes,mean_db,median_db,std_db,min_db,max_db,p05_db,p10_db,p25_db,p75_db,p90_db,p95_db,high_exposure_share_60,high_exposure_share_65,high_exposure_share_70,quiet_share_45,quiet_share_50,quiet_share_55,iqr_db,range_db,floor,company_id,zone_type,approx_people,x,y,burst_rate_per_hour,burstiness_index,exposure_variability_index,day_night_difference_db,weekday_weekend_difference_db,profile_stability_score
A034,43114,66.17082147330333,65.1885,3.636102437689432,60.189,82.565,61.74,62.159,63.36,68.47775,71.84,73.289,1.0,0.5248411188940947,0.1775293408173679,0.0,0.0,0.0,5.117750000000001,22.376,Main_Floor_D,Deployment_A,unknown,16,0.9,0.12,,,0.5148809523809524,5.665569886064027,-1.591033171059692,0.9570013450261902
A035,43125,65.25966947246377,63.522,4.6771031378064745,59.543,81.055,60.304,60.598,61.297,68.217,72.8342,74.56,0.989936231884058,0.4157449275362319,0.1928115942028985,0.0,0.0,0.0,6.920000000000002,21.512000000000008,Main_Floor_D,Deployment_A,unknown,16,0.77,0.12,,,0.5744047619047619,7.320576893518513,-2.0520279661573118,0.9646323743260126
A036,43125,60.74527452753624,57.187,7.192081950566653,52.264,80.055,53.308,53.826,55.681,67.56,72.33,74.51499999999999,0.3373449275362319,0.2920811594202898,0.1958028985507246,0.0,0.0,0.1876405797101449,11.879000000000003,27.791000000000004,Main_Floor_D,Deployment_A,unknown,16,0.33,0.88,,,0.7589285714285715,10.966047027777776,-3.0443216684294967,0.9711555917913458
A037,43125,61.082927443478255,56.714,7.332223393467164,52.761,91.088,54.163,54.604,55.359,68.163,72.935,74.554,0.3945507246376811,0.3112811594202898,0.2046144927536232,0.0,0.0,0.152695652173913,12.803999999999997,38.32699999999999,Main_Floor_D,Deployment_A,unknown,16,0.62,0.49,,,0.7708333333333334,10.501334921296298,-2.5544656712275327,0.9661779621642392
A038,43125,56.98108946086956,53.88,6.268428492288674,49.576,76.63,50.848,51.25,52.228,63.022,67.253,68.6078,0.3025391304347826,0.1935072463768116,0.0197101449275362,0.0,0.0015536231884057,0.6085565217391304,10.793999999999995,27.053999999999995,Main_Floor_D,Deployment_A,unknown,16,0.49,0.88,,,0.4047619047619048,9.249204949074077,-2.168875947945736,0.9856961458948368
A039,40304,63.39941628622469,60.696,5.945321216883228,55.022,84.495,56.543,57.143,58.857,68.913,72.659,74.07539999999999,0.5900903136165145,0.3496675267963477,0.2115422786820166,0.0,0.0,0.0,10.055999999999996,29.47300000000001,Main_Floor_D,Deployment_A,unknown,16,0.62,0.88,,,0.6696428571428572,9.306049500305852,-2.0632858115065176,0.9858559722851852
A040,41697,65.87227798162938,62.396,6.2284699246667135,59.385,97.923,60.256,60.739,61.37,69.488,76.703,78.65279999999998,0.9819891119265176,0.3635513346283905,0.2424874691224788,0.0,0.0,0.0,8.118000000000002,38.538,Main_Floor_D,Deployment_A,unknown,16,0.32,0.49,,,0.7113095238095238,9.264930399904216,-1.9934615475143431,0.977024034318467
A041,43125,60.52582471884058,58.337,4.484544371000549,53.569,84.2,55.967,56.385,57.144,64.457,67.582,68.978,0.3703884057971014,0.2293101449275362,0.0275246376811594,0.0,0.0,0.0019014492753623,7.312999999999995,30.631,Main_Floor_D,Deployment_A,unknown,16,0.19,0.12,,,0.4196428571428572,6.971403819444447,-1.236912682776918,0.9745761437458712
A042,41696,50.73442471699923,50.467,2.153901681344936,43.154,65.772,47.857,48.348,49.283,51.804,53.283,54.6095,0.0036694167306216,7.194934765924789e-05,0.0,0.0002877973906369,0.4056983883346124,0.9600920951650038,2.521000000000001,22.618,Main_Floor_D,Deployment_A,unknown,16,0.32,0.12,,,0.0238095238095238,1.40427700633969,-0.6631606811988462,0.530486362027072
A043,41698,61.64832306105808,57.315,6.623380917380774,53.421,91.209,55.543,55.815,56.326,67.58425,71.6286,73.196,0.4068540457575902,0.3716725022782867,0.1634370953043311,0.0,0.0,0.0068108782195788,11.258249999999997,37.788,Main_Floor_D,Deployment_A,unknown,16,0.48,0.12,,,0.6875,9.725635660919544,-1.321424135175448,0.9338120339905488
A044,42871,64.91579729887337,63.727,5.778160965666204,55.385,100.0,57.912,58.523,59.868,69.10249999999999,73.538,75.4525,0.7363952322082526,0.4589582701593152,0.219145809521588,0.0,0.0,0.0,9.23449999999999,44.615,Main_Floor_D,Deployment_A,unknown,16,0.48,0.49,,,0.6636904761904763,7.867695845187704,-2.015785307350044,0.964742280891015
A045,42697,61.36076974963112,58.326,5.432369409436902,55.5,83.951,56.88,57.033,57.604,64.692,70.89,72.44,0.3420380823008642,0.2439749865330117,0.1311333348947232,0.0,0.0,0.0,7.087999999999994,28.450999999999997,Main_Floor_E,Deployment_A,unknown,16,0.85,0.47,,,0.5625,7.505329737349541,-2.209529541885608,0.9845741326292212
A046,43124,55.81289029310824,52.944,6.242123091721727,45.511,75.511,49.522,50.065,51.011,60.516,66.33,67.637,0.2654670253223263,0.1537890733698172,0.0081393191726184,0.0,0.093660142843892,0.6268203320656711,9.504999999999995,29.999999999999996,Main_Floor_E,Deployment_A,unknown,16,0.43,0.47,,,0.2976190476190476,9.287154176867546,-2.2790205947163287,0.9746102287304954
A047,39381,59.186245245169,55.228,6.889113540564957,48.815,79.033,52.626,53.087,54.143,65.187,70.648,71.833,0.3362789162286382,0.2570782864833295,0.1298087910413651,0.0,2.539295599400726e-05,0.4628881948147584,11.043999999999995,30.218000000000004,Main_Floor_E,Deployment_A,unknown,16,0.58,0.15,,,0.5654761904761905,9.72735056159091,-3.4788280222490258,0.979692063711344
A048,43124,57.83061163157407,54.587,6.500655551368439,46.871,79.5,50.707,51.272,52.435,62.902,68.0847,69.396,0.3837306372321677,0.2130600129858083,0.0328355440126147,0.0,0.0105509692978387,0.517322140803265,10.467,32.629,Main_Floor_E,Deployment_A,unknown,16,0.31,0.15,,,0.4404761904761904,10.274847359070924,-2.3951180463513424,0.9662582014716424
A049,43124,62.93766712271589,59.297,7.519710553140852,52.761,84.935,55.011,55.571,56.9,68.89,75.209,76.652,0.4665383545125684,0.3399267229385029,0.2319126240608477,0.0,0.0,0.049786661719692,11.990000000000002,32.174,Main_Floor_E,Deployment_A,unknown,16,0.44,0.15,,,0.8065476190476191,11.262949912037037,-3.020847120103433,0.9758440165973792
A050,43125,59.49454866086956,55.348,8.632312862942479,48.739,84.868,51.217,51.902,53.261,64.902,71.516,79.967,0.3446260869565217,0.2474434782608695,0.1216927536231884,0.0,0.0053333333333333,0.4765217391304348,11.640999999999998,36.129,Main_Floor_E,Deployment_A,unknown,16,0.31,0.86,,,0.613095238095238,12.276919287037051,-1.0759910889631428,0.9607501196878374
A051,41697,60.280962755114274,56.516,7.756586333182213,51.359,85.088,52.484,52.857,53.615,66.38,72.593,74.363,0.4375374727198599,0.2774060483967671,0.1804686188454805,0.0,0.0,0.4402235172794206,12.764999999999992,33.72899999999999,Main_Floor_E,Deployment_A,unknown,16,0.9,0.15,,,0.7767857142857143,10.68479554937992,-3.4994141378077828,0.9749991395791372
A052,5369,61.56214360216055,57.82,7.408129235595831,53.139,80.857,54.9574,55.333,56.075,69.133,74.2634,75.719,0.3492270441422984,0.2862730489849134,0.2357981002048798,0.0,0.0,0.0596014155336189,13.057999999999993,27.718,Main_Floor_E,Deployment_A,unknown,16,0.72,0.15,,,0.8065476190476191,10.578980037529604,-3.546028018433425,0.8179526128139626
A053,835,64.42499401197605,64.0,3.408699025189651,55.333,77.0,60.0,60.7868,62.25,65.9285,69.5,71.1304,0.9568862275449102,0.3532934131736527,0.0898203592814371,0.0,0.0,0.0,3.6785,21.667,Main_Floor_E,Deployment_A,unknown,16,0.18,0.86,,,0.4375,3.5631248073374024,-1.1664254614639873,0.3377659826804185
A054,41698,61.170878099669046,58.043,6.4712938994926565,50.857,81.956,54.576,55.209,56.429,66.714,71.121,73.06615000000001,0.3814571442275409,0.2803012134874574,0.1459782243752698,0.0,0.0,0.0816585927382608,10.284999999999997,31.099000000000004,Main_Floor_E,Deployment_A,unknown,16,0.44,0.86,,,0.6577380952380952,9.067217435780217,-2.540314641827834,0.9739707746850126
A055,41698,61.65474634275025,56.337,9.52751486899732,51.275,84.802,53.076,53.6438,54.859,71.132,77.714,79.75,0.3294162789582234,0.3103506163365149,0.2679265192575183,0.0,0.0,0.2786944217948103,16.273000000000003,33.52700000000001,Main_Floor_E,Deployment_A,unknown,16,0.73,0.86,,,0.8839285714285715,12.366081392299428,-4.348248028561997,0.9668089414620592
A056,29560,59.55003582543978,56.333,5.910062666215885,51.0,78.25,54.333,54.667,55.3,64.571,69.667,71.0,0.3187753721244926,0.2402232746955345,0.0918809201623816,0.0,0.0,0.1814276048714479,9.271,27.25,Main_Floor_E,Deployment_A,unknown,16,0.72,0.47,,,0.5625,8.044124725337888,-2.4896745434330896,0.9674555464336476
