sensor_id,n_records,mean_db,median_db,std_db,min_db,max_db,p05_db,p10_db,p25_db,p75_db,p90_db,p95_db,high_exposure_share_60,high_exposure_share_65,high_exposure_share_70,quiet_share_45,quiet_share_50,quiet_share_55,iqr_db,range_db,coverage_ratio,floor,company_id,event_type,period_id
A002,1440,64.0379638888889,65.9185,6.366721200735565,52.468,79.435,54.391,54.663,58.707,69.5445,71.5715,72.7041,0.6527777777777778,0.5277777777777778,0.20625,0.0,0.0,0.1375,10.8375,26.967,1.0,Main_Floor_A,Deployment_A,none,A_P027
A002,1440,63.10514097222222,64.47,6.575435916679512,53.049,77.63,54.5406,54.7827,55.46575,69.074,71.087,72.52255000000001,0.5756944444444444,0.4604166666666666,0.1854166666666666,0.0,0.0,0.1611111111111111,13.608249999999998,24.581,1.0,Main_Floor_A,Deployment_A,none,A_P028
A002,1440,63.88481458333334,64.104,5.874789533083016,53.489,77.956,54.533,55.337,57.87275,68.774,70.8181,71.98955000000001,0.7069444444444445,0.45625,0.1520833333333333,0.0,0.0,0.0673611111111111,10.901250000000005,24.46700000000001,1.0,Main_Floor_A,Deployment_A,none,A_P029
A002,1440,58.00211805555556,56.832,3.25291337061951,53.505,71.913,54.293,54.6285,56.1275,58.022,63.3527,64.0653,0.2208333333333333,0.0291666666666666,0.0006944444444444,0.0,0.0,0.1361111111111111,1.8945000000000007,18.407999999999998,1.0,Main_Floor_A,Deployment_A,none,A_P030
A002,805,58.62811055900621,57.89,2.3890124875400343,55.685,66.337,56.033,56.1356,56.38,60.587,62.2522,62.7736,0.2881987577639751,0.0074534161490683,0.0,0.0,0.0,0.0,4.207000000000001,10.652,0.5590277777777778,Main_Floor_A,Deployment_A,none,A_P031
A003,560,52.25893035714286,46.894000000000005,7.73849250645253,44.714,71.216,45.462,45.6029,46.011,60.89,62.8475,64.95875,0.3160714285714285,0.05,0.0053571428571428,0.0017857142857142,0.5946428571428571,0.6357142857142857,14.878999999999998,26.501999999999995,0.3888888888888889,Main_Floor_A,Deployment_A,none,A_P001
A003,1440,50.970213888888885,47.2545,5.616469168142328,44.879,63.385,45.55375,45.791,46.37425,56.77375,59.341,59.58225,0.0270833333333333,0.0,0.0,0.0006944444444444,0.5875,0.7076388888888889,10.399499999999996,18.506,1.0,Main_Floor_A,Deployment_A,none,A_P002
A003,1440,48.82814722222223,47.473,3.57295472479774,43.719,59.67,44.582,44.879,45.462,51.79375,53.407,53.923,0.0,0.0,0.0,0.1305555555555555,0.5395833333333333,0.9840277777777776,6.331749999999992,15.951,1.0,Main_Floor_A,Deployment_A,none,A_P003
A003,1440,59.44593472222222,62.8405,8.841731753069306,43.222,78.692,44.5919,46.265600000000006,49.78275,66.26474999999999,69.3432,70.934,0.5666666666666667,0.3541666666666667,0.0784722222222222,0.0715277777777777,0.2618055555555555,0.3375,16.481999999999992,35.46999999999999,1.0,Main_Floor_A,Deployment_A,none,A_P004
A003,1440,59.90041111111111,64.308,8.909418034536392,43.934,74.648,44.868,46.9186,49.538,66.72775,69.2458,70.73765,0.6402777777777777,0.4173611111111111,0.0743055555555555,0.0611111111111111,0.3125,0.3520833333333333,17.189750000000004,30.714,1.0,Main_Floor_A,Deployment_A,none,A_P005
