sensor_a,sensor_b,mean_diff_db,iqr_diff_db,quiet55_diff,high65_diff,high70_diff,substantial_dynamic_difference
A010,A026,0.4612023861321788,2.326999999999998,0.0906621898444124,0.0500112683384335,0.0123841640823424,False
A010,A027,0.4757368453486421,2.1139999999999954,0.108243473034983,0.0030590319708913,0.0015806979766421,True
A010,A046,0.6033219011789583,2.0620000000000047,0.0811694784318226,0.0286119359111493,0.0005814542694535,False
A011,A019,0.2221717172807373,2.247000000000005,0.0024325699999353,0.0355846267281635,0.0016155868377604,False
A011,A023,0.998076426394249,3.2110000000000003,0.0681751482152092,0.1664435143227016,0.0522410096449205,True
A011,A026,0.2670732495826513,1.874999999999995,0.0547490612586875,0.107568152003861,0.0181540531231814,True
A012,A023,0.4541931818675877,1.1659999999999968,0.1212202278232996,0.0373540481197131,0.0447662344937647,True
A012,A027,0.2482571271983644,6.942999999999996,0.1253754240573485,0.0745916145084524,0.0001241881336745,True
A012,A046,0.1206720713680482,6.891000000000005,0.0983014294541881,0.0429206466264117,0.0011234318408631,True
A013,A015,0.6425889649747774,1.6340000000000003,0.0029208963800038,0.0960342335440209,0.0073825448509224,False
A013,A017,0.5670493681159456,0.4450000000000003,0.0417623188405797,0.0343188405797101,0.0263652173913044,False
A013,A021,0.5756654325963382,1.8399999999999963,0.0,0.0783844630417126,0.0181080867850099,False
A013,A036,0.5589982144927461,4.4620000000000015,0.1876405797101449,0.024695652173913,0.183536231884058,True
A013,A037,0.2213452985507302,5.386999999999995,0.152695652173913,0.043895652173913,0.1923478260869566,True
A013,A041,0.7784480231884032,0.1040000000000063,0.0019014492753623,0.0380753623188405,0.0152579710144928,False
A013,A043,0.344050319029094,3.841249999999995,0.0068108782195788,0.1042869950319099,0.1511704286376645,True
A013,A045,0.0564970076021325,0.3290000000000077,0.0,0.023410520713365,0.1188666682280566,False
A013,A052,0.2578708601315682,5.640999999999991,0.0596014155336189,0.0188875417385366,0.2235314335382132,True
A013,A054,0.1333946423599386,2.867999999999995,0.0816585927382608,0.0129157062410806,0.1337115577086032,False
A013,A055,0.3504736007212656,8.856000000000002,0.2786944217948103,0.0429651090901381,0.2556598525908517,True
A014,A016,0.9087624875380628,4.548250000000003,0.0578757286443666,0.1427929024429333,0.0085296563408659,True
A014,A020,0.7185562434782682,4.368000000000002,0.1799188405797102,0.070631884057971,0.0028753623188405,True
A014,A022,0.8034455026143092,5.271999999999999,0.417865274564985,0.0844572757717605,0.0065991642810629,True
A014,A024,0.7212490434782666,6.154000000000004,0.4355710144927537,0.1265623188405797,0.0069797101449275,True
A014,A029,0.1052568115942094,5.341999999999999,0.1577971014492753,0.0633739130434782,0.2000000000000001,True
A014,A031,0.0203327072463892,1.958999999999996,0.0953043478260869,0.0719536231884058,0.0053333333333334,False
A014,A047,0.8224100219805948,1.4560000000000048,0.026227325249541,0.0065971270630396,0.1172638635051333,False
A014,A048,0.5332235916143304,2.0329999999999995,0.0806612712380476,0.0374211464344815,0.0202906164763829,False
A015,A017,0.0755395968588317,2.0790000000000006,0.0388414224605759,0.0617153929643107,0.0337477622422269,False
A015,A021,0.0669235323784391,0.2059999999999959,0.0029208963800038,0.0176497705023082,0.0254906316359324,False
A015,A028,0.8794885306773992,0.7610000000000019,0.0029208963800038,0.0291831577603268,0.0040434144161399,False
A015,A036,0.0835907504820312,6.096000000000002,0.184719683330141,0.1207298857179339,0.1909187767349805,True
A015,A037,0.4212436664240471,7.020999999999996,0.1497747557939092,0.1399298857179339,0.1997303709378791,True
A015,A041,0.1358590582136258,1.529999999999994,0.0010194471046415,0.0579588712251804,0.0226405158654153,False
A015,A043,0.9866392840038714,5.475249999999996,0.0038899818395749,0.2003212285759308,0.158552973488587,True
A015,A045,0.6990859725769099,1.3049999999999926,0.0029208963800038,0.0726237128306558,0.1262492130789791,False
A015,A051,0.3807210219399337,6.98199999999999,0.4373026208994168,0.1060547746944112,0.1755844970297363,True
A015,A052,0.9004598251063456,7.274999999999991,0.0566805191536151,0.1149217752825575,0.2309139783891357,True
A015,A054,0.5091943226148388,4.501999999999995,0.078737696358257,0.1089499397851015,0.1410941025595257,True
